"Continent ID","Continent","Country ID","Country","Trade Value","Share"
"af","Africa","ago","Angola",993305,0.0002586840912575104
"af","Africa","bdi","Burundi",15399,0.000004010325450163246
"af","Africa","ben","Benin",3811,9.924897909326663e-7
"af","Africa","bfa","Burkina Faso",14950,0.000003893393433335965
"af","Africa","bwa","Botswana",185463,0.000048299694068681475
"af","Africa","caf","Central African Republic",632895,0.0001648233603338572
"af","Africa","civ","Cote d'Ivoire",102930166,0.026805861698767947
"af","Africa","cmr","Cameroon",3756406,0.0009782720035681482
"af","Africa","cod","Democratic Republic of the Congo",1675249,0.0004362811676122168
"af","Africa","cog","Republic of the Congo",4452370,0.0011595202756375955
"af","Africa","com","Comoros",343488,0.00008945377415583302
"af","Africa","cpv","Cape Verde",23904,0.000006225262650867084
"af","Africa","dji","Djibouti",412239,0.00010735843582374481
"af","Africa","dza","Algeria",50189447,0.013070719958031
"af","Africa","egy","Egypt",59536591,0.015504974745325023
"af","Africa","eri","Eritrea",13597,0.0000035410348169276994
"af","Africa","esh","Western Sahara",18560,0.000004833537265733478
"af","Africa","eth","Ethiopia",2292982,0.0005971559238500046
"af","Africa","gab","Gabon",9592353,0.002498113992002712
"af","Africa","gha","Ghana",1809909,0.00047135035555422494
"af","Africa","gin","Guinea",18374,0.000004785097722014382
"af","Africa","gmb","Gambia",304392,0.00007927209457926428
"af","Africa","gnb","Guinea-Bissau",9736,0.0000025355236432748465
"af","Africa","gnq","Equatorial Guinea",22283143,0.005803146664233196
"af","Africa","ken","Kenya",7634513,0.0019882383131048864
"af","Africa","lbr","Liberia",2182455,0.000568371636491722
"af","Africa","lby","Libya",14076,0.000003665779663387093
"af","Africa","lso","Lesotho",3168345,0.0008251246566918286
"af","Africa","mar","Morocco",210860766,0.05491397469515662
"af","Africa","mdg","Madagascar",7315613,0.0019051879341155328
"af","Africa","mli","Mali",1697037,0.0004419553653463656
"af","Africa","moz","Mozambique",16231025,0.004227007769318521
"af","Africa","mrt","Mauritania",103127,0.000026857122715694852
"af","Africa","mus","Mauritius",7991427,0.0020811885889487442
"af","Africa","mwi","Malawi",540060,0.0001406465590372857
"af","Africa","nam","Namibia",25365082,0.006605768809018614
"af","Africa","ner","Niger",931858,0.00024268159317736358
"af","Africa","nga","Nigeria",105603627,0.027502104876137832
"af","Africa","reu","Reunion",2013409,0.0005243473832253867
"af","Africa","rwa","Rwanda",6118400,0.001593400560703864
"af","Africa","sdn","Sudan",9741157,0.0025368666686886063
"af","Africa","sen","Senegal",9358059,0.0024370973551418413
"af","Africa","shn","Saint Helena",414114,0.00010784673767575182
"af","Africa","sle","Sierra Leone",7214354,0.0018788172902582643
"af","Africa","som","Somalia",316747,0.00008248967824942253
"af","Africa","stp","Sao Tome and Principe",60920,0.000015865252706276052
"af","Africa","swz","Eswatini",10374944,0.002701922330490192
"af","Africa","syc","Seychelles",225661,0.00005876836492040316
"af","Africa","tcd","Chad",64330,0.000016753311007792816
"af","Africa","tgo","Togo",10874,0.0000028318903139863066
"af","Africa","tun","Tunisia",44905569,0.011694652004335455
"af","Africa","tza","Tanzania",2646342,0.0006891806398101113
"af","Africa","uga","Uganda",6499474,0.0016926427686781162
"af","Africa","zaf","South Africa",191194616,0.04979236537950444
"af","Africa","zmb","Zambia",21944,0.000005714824448235747
"af","Africa","zwe","Zimbabwe",1069296,0.0002784742491433053
"at","Antarctica","ata","Antarctica",2946,7.672198698734283e-7
"at","Antarctica","atf","French South Antarctic Territory",1060,2.7605331366796805e-7
"as","Asia","afg","Afghanistan",2093495,0.0005452039923559649
"as","Asia","are","United Arab Emirates",227134902,0.059152209761084144
"as","Asia","arm","Armenia",749054,0.00019507437624174164
"as","Asia","aze","Azerbaijan",67624,0.000017611159701398747
"as","Asia","bgd","Bangladesh",271148069,0.0706144556057744
"as","Asia","bhr","Bahrain",28251016,0.007357345831402627
"as","Asia","brn","Brunei",9869,0.0000025701605213105445
"as","Asia","btn","Bhutan",4569,0.000001189893952970704
"as","Asia","cck","Cocos (Keeling) Islands",654108,0.00017034781216672385
"as","Asia","chn","China",69135594223,18.004820639304885
"as","Asia","cxr","Christmas Island",8389,0.000002184727592793004
"as","Asia","cyp","Cyprus",2863362,0.0007456986493688117
"as","Asia","geo","Georgia",12718838,0.0033123371470812
"as","Asia","hkg","Hong Kong",280133885,0.07295461058955802
"as","Asia","idn","Indonesia",1312970342,0.34193378646874084
"as","Asia","ind","India",4114462342,1.071519776859593
"as","Asia","iot","British Indian Ocean Territory",51934,0.000013525049803804012
"as","Asia","irn","Iran",20999815,0.005468932563362549
"as","Asia","irq","Iraq",17502,0.000004558004807374318
"as","Asia","isr","Israel",699701545,0.18222163214702536
"as","Asia","jor","Jordan",17233350,0.004488040918018753
"as","Asia","jpn","Japan",17721790735,4.615244392950043
"as","Asia","kaz","Kazakhstan",65883447,0.01715787156624335
"as","Asia","kgz","Kyrgyzstan",71642,0.000018657558016792988
"as","Asia","khm","Cambodia",119002099,0.030991437511692064
"as","Asia","kor","South Korea",13503884196,3.516784886504061
"as","Asia","kwt","Kuwait",20911,0.00000544580268123668
"as","Asia","lao","Laos",1942479,0.0005058752496985291
"as","Asia","lbn","Lebanon",826224,0.00021517157833207857
"as","Asia","lka","Sri Lanka",184791437,0.04812480049180713
"as","Asia","mac","Macau",1195558,0.0003113563656436307
"as","Asia","mdv","Maldives",37055,0.000009650146733930715
"as","Asia","mmr","Burma",9817561,0.00255676438319567
"as","Asia","mng","Mongolia",128595,0.00003348969421804939
"as","Asia","mys","Malaysia",8158791069,2.124774820869881
"as","Asia","npl","Nepal",1544453,0.00040221827212682485
"as","Asia","omn","Oman",16534834,0.004306128034575267
"as","Asia","pak","Pakistan",188205482,0.04901391222318596
"as","Asia","phl","Philippines",2232116318,0.5813048170530604
"as","Asia","prk","North Korea",6711490,0.0017478575982541804
"as","Asia","pse","Palestine",412,1.0729619361434231e-7
"as","Asia","qat","Qatar",53982268,0.01405847543463426
"as","Asia","sau","Saudi Arabia",109164013,0.028429327850889762
"as","Asia","sgp","Singapore",1277317265,0.3326487392533548
"as","Asia","syr","Syria",791711,0.00020618343869564212
"as","Asia","tha","Thailand",5424550826,1.4127030478090692
"as","Asia","tjk","Tajikistan",42961,0.000011188232460839224
"as","Asia","tkm","Turkmenistan",2285801,0.0005952857928637311
"as","Asia","tmp","Timor Oriental",109964,0.000028637666588853245
"as","Asia","tur","Turkey",714255271,0.18601182487204013
"as","Asia","twn","Taiwan (Republic of China)",6807955031,1.7729797600094948
"as","Asia","uzb","Uzbekistan",109918,0.000028625686916750675
"as","Asia","vnm","Vietnam",4006833938,1.0434903640586544
