"Continent ID","Continent","Country ID","Country","Trade Value","Share"
"af","Africa","ago","Angola",87223,0.00002291211775124804
"af","Africa","bdi","Burundi",21936,0.000005762244075431675
"af","Africa","ben","Benin",1508,3.9612801175013516e-7
"af","Africa","bfa","Burkina Faso",3829,0.0000010058184064928832
"af","Africa","bwa","Botswana",27918,0.000007333621904535992
"af","Africa","caf","Central African Republic",299262,0.00007861144632119957
"af","Africa","civ","Cote d'Ivoire",72382413,0.019013727683930462
"af","Africa","cmr","Cameroon",6951997,0.0018261808682380005
"af","Africa","cod","Democratic Republic of the Congo",37909,0.0000099581013245596
"af","Africa","cog","Republic of the Congo",902816,0.00023715564128395895
"af","Africa","com","Comoros",34401,0.000009036604596960478
"af","Africa","cpv","Cape Verde",36866,0.000009684121539244353
"af","Africa","dji","Djibouti",64908,0.00001705031630416298
"af","Africa","dza","Algeria",31989653,0.008403181458532326
"af","Africa","egy","Egypt",45852684,0.012044782855654666
"af","Africa","eri","Eritrea",7999,0.0000021012121790380184
"af","Africa","esh","Western Sahara",70217,0.000018444907560384112
"af","Africa","eth","Ethiopia",5421368,0.001424108572152392
"af","Africa","gab","Gabon",12286420,0.0032274503488906475
"af","Africa","gha","Ghana",2304475,0.0006053495357280456
"af","Africa","gin","Guinea",11021,0.0000028950443086858354
"af","Africa","gmb","Gambia",173526,0.000045582565893205544
"af","Africa","gnb","Guinea-Bissau",8156,0.0000021424536232321635
"af","Africa","gnq","Equatorial Guinea",8904307,0.0023390221670575666
"af","Africa","ken","Kenya",11785974,0.0030959910127047667
"af","Africa","lbr","Liberia",2561175,0.0006727806104072629
"af","Africa","lby","Libya",39705,0.000010429882431391988
"af","Africa","lso","Lesotho",3161226,0.0008304046220642128
"af","Africa","mar","Morocco",326175707,0.0856812561638625
"af","Africa","mdg","Madagascar",3521681,0.0009250905122998859
"af","Africa","mli","Mali",2075029,0.0005450776605397024
"af","Africa","moz","Mozambique",11068015,0.0029073944137736557
"af","Africa","mrt","Mauritania",417648,0.00010970959671844858
"af","Africa","mus","Mauritius",3521946,0.0009251601236547358
"af","Africa","mwi","Malawi",41432,0.000010883538317527587
"af","Africa","myt","Mayotte",304608,0.00008001575689866392
"af","Africa","nam","Namibia",99341746,0.026095522763108055
"af","Africa","ner","Niger",223779,0.00005878324293198508
"af","Africa","nga","Nigeria",23710958,0.006228497778004617
"af","Africa","reu","Reunion",70849,0.000018610924074592392
"af","Africa","rwa","Rwanda",361149,0.00009486819318007266
"af","Africa","sdn","Sudan",335754,0.00008819732391058016
"af","Africa","sen","Senegal",27058956,0.0071079644829671025
"af","Africa","shn","Saint Helena",387696,0.00010184167482989417
"af","Africa","sle","Sierra Leone",8147835,0.00214030880544971
"af","Africa","som","Somalia",47551,0.000012490903903667558
