"Continent ID","Continent","Country ID","Country","Trade Value","Share"
"af","Africa","ago","Angola",58415,0.000011628089789025457
"af","Africa","bdi","Burundi",42457,0.000008451490339341844
"af","Africa","ben","Benin",24599,0.000004896676893267778
"af","Africa","bfa","Burkina Faso",21227,0.000004225446579673772
"af","Africa","bwa","Botswana",23154,0.000004609035196012932
"af","Africa","caf","Central African Republic",1242590,0.0002473499630393759
"af","Africa","civ","Cote d'Ivoire",83110282,0.016543932577030324
"af","Africa","cmr","Cameroon",7417078,0.001476443532589324
"af","Africa","cod","Democratic Republic of the Congo",3885204,0.0007733887008590407
"af","Africa","cog","Republic of the Congo",1943247,0.000386822744128295
"af","Africa","com","Comoros",164751,0.00003279533374701247
"af","Africa","cpv","Cape Verde",65159,0.00001297055041621347
"af","Africa","dji","Djibouti",4055,8.071882922964689e-7
"af","Africa","dza","Algeria",47102167,0.009376157273537137
"af","Africa","egy","Egypt",61072003,0.012156992801157786
"af","Africa","eri","Eritrea",9785,0.000001947802081410838
"af","Africa","esh","Western Sahara",47635,0.000009482223009504882
"af","Africa","eth","Ethiopia",3794880,0.0007554088055906347
"af","Africa","gab","Gabon",28658294,0.005704719949196089
"af","Africa","gha","Ghana",5408265,0.0010765692206255889
"af","Africa","gin","Guinea",24844,0.000004945446592802336
"af","Africa","gmb","Gambia",75048,0.000014939054737426731
"af","Africa","gnb","Guinea-Bissau",40213,0.000008004799703604908
"af","Africa","gnq","Equatorial Guinea",91,1.8114459827121744e-8
"af","Africa","ken","Kenya",11490086,0.002287216497331582
"af","Africa","lbr","Liberia",3611075,0.0007188205826398204
"af","Africa","lby","Libya",12624863,0.002513105204795777
"af","Africa","lso","Lesotho",5622757,0.0011192659977381052
"af","Africa","mar","Morocco",481115701,0.09577089052705513
"af","Africa","mdg","Madagascar",5341378,0.001063254694532658
"af","Africa","mli","Mali",2610104,0.000519567297281426
"af","Africa","moz","Mozambique",13105029,0.0026086870478435765
"af","Africa","mrt","Mauritania",9918179,0.0019743126928978296
"af","Africa","mus","Mauritius",3091728,0.0006154393698064556
"af","Africa","mwi","Malawi",157846,0.000031420824460130314
"af","Africa","myt","Mayotte",5430,0.0000010808957896842976
"af","Africa","nam","Namibia",26919873,0.005358669868238674
"af","Africa","ner","Niger",213891,0.000042577142053658207
"af","Africa","nga","Nigeria",7492387,0.001491434541986255
"af","Africa","reu","Reunion",134093,0.00002669255232525534
"af","Africa","rwa","Rwanda",845300,0.00016826541639413197
"af","Africa","sdn","Sudan",249981,0.00004976121738509583
"af","Africa","sen","Senegal",44339980,0.008826316334564632
"af","Africa","shn","Saint Helena",60067,0.000011956936905887052
"af","Africa","sle","Sierra Leone",7085013,0.0014103426743201683
"af","Africa","som","Somalia",60556,0.00001205427724495807
"af","Africa","ssd","South Sudan",259,5.155653950796189e-8
"af","Africa","stp","Sao Tome and Principe",373894,0.00007442733892969073
"af","Africa","swz","Eswatini",9304160,0.0018520860719243191
"af","Africa","syc","Seychelles",3420757,0.000680935881921379
"af","Africa","tcd","Chad",116673,0.00002322492715834918
"af","Africa","tgo","Togo",46235,0.000009203539012164548
"af","Africa","tun","Tunisia",80887125,0.01610139094883379
"af","Africa","tza","Tanzania",1805217,0.000359346492590519
"af","Africa","uga","Uganda",2727018,0.0005428401978993174
"af","Africa","zaf","South Africa",631298291,0.1256662366071441
"af","Africa","zmb","Zambia",74715,0.000014872767758059352
"af","Africa","zwe","Zimbabwe",638890,0.00012717744218626167
"at","Antarctica","ata","Antarctica",1535564,0.0003056693669227953
"at","Antarctica","atf","French South Antarctic Territory",27879,0.000005549593687036562
"as","Asia","afg","Afghanistan",2439952,0.0004856968404846742
"as","Asia","are","United Arab Emirates",553235022,0.11012696242830565
"as","Asia","arm","Armenia",2040532,0.00040618829604347677
"as","Asia","aze","Azerbaijan",934468,0.00018601519830473408
"as","Asia","bgd","Bangladesh",434112887,0.08641451046150923
"as","Asia","bhr","Bahrain",145991959,0.02906115908119016
"as","Asia","brn","Brunei",154972,0.000030848726025590234
"as","Asia","btn","Bhutan",59757,0.00001189522830647598
"as","Asia","cck","Cocos (Keeling) Islands",10793,0.0000021484545594958788
"as","Asia","chn","China",100582127675,20.02187814390349
"as","Asia","cxr","Christmas Island",38305,0.0000076249932272296534
"as","Asia","cyp","Cyprus",19164559,0.003814897078131917
"as","Asia","geo","Georgia",4607251,0.0009171193753073239
"as","Asia","hkg","Hong Kong",466310405,0.09282374833342165
"as","Asia","idn","Indonesia",1922132974,0.3826197861528466
"as","Asia","ind","India",5597335556,1.1142056051437599
"as","Asia","iot","British Indian Ocean Territory",11175,0.00000222449547877017
"as","Asia","irn","Iran",4555710,0.0009068596239452394
"as","Asia","irq","Iraq",6742,0.000001342062507191811
"as","Asia","isr","Israel",796429428,0.1585372404246544
"as","Asia","jor","Jordan",34178432,0.006803558608989146
"as","Asia","jpn","Japan",17060669313,3.396096801034585
"as","Asia","kaz","Kazakhstan",30048094,0.0059813735345558006
"as","Asia","kgz","Kyrgyzstan",130804,0.000026037843991503653
"as","Asia","khm","Cambodia",201413306,0.04009333230972285
"as","Asia","kor","South Korea",18951610803,3.772507610441648
"as","Asia","kwt","Kuwait",231953,0.00004617256373934472
"as","Asia","lao","Laos",96730478,0.019255168766915205
"as","Asia","lbn","Lebanon",7782911,0.0015492662488743288
"as","Asia","lka","Sri Lanka",261637690,0.05208159807435091
"as","Asia","mac","Macau",17541782,0.0034918670915948056
"as","Asia","mdv","Maldives",42750,0.000008509814918785214
"as","Asia","mmr","Burma",67936618,0.013523463050016659
"as","Asia","mng","Mongolia",276518,0.00005504367255468187
"as","Asia","mys","Malaysia",12434444264,2.475200451569367
"as","Asia","npl","Nepal",626849,0.0001247805607491367
"as","Asia","omn","Oman",102756116,0.02045463225574793
"as","Asia","pak","Pakistan",206855566,0.04117666857498385
"as","Asia","phl","Philippines",3253003532,0.6475428768999906
"as","Asia","prk","North Korea",15815,0.000003148133869955279
"as","Asia","pse","Palestine",39173,0.00000779777730558066
"as","Asia","qat","Qatar",99282688,0.019763211684666614
"as","Asia","sau","Saudi Arabia",155429103,0.030939716947901843
"as","Asia","sgp","Singapore",1990123039,0.3961538883625817
"as","Asia","syr","Syria",357950,0.00007125352631998054
"as","Asia","tha","Thailand",6517196955,1.2973132134811831
"as","Asia","tjk","Tajikistan",71879,0.000014308233603447076
"as","Asia","tkm","Turkmenistan",77903,0.000015507371032002915
"as","Asia","tmp","Timor Oriental",7393,0.0000014716505659550665
"as","Asia","tur","Turkey",1256793257,0.25017726335081314
"as","Asia","twn","Taiwan (Republic of China)",11767678038,2.3424739678885036
"as","Asia","uzb","Uzbekistan",295860,0.00005889389103793669
"as","Asia","vnm","Vietnam",8591234594,1.7101711419603471
"as","Asia","yem","Yemen",9204,0.0000018321482225145994
"eu","Europe","alb","Albania",7755613,0.0015438323090461884
"eu","Europe","and","Andorra",263572,0.00005246664181927618
"eu","Europe","ant","Netherlands Antilles",3801356,0.0007566979181383319
"eu","Europe","aut","Austria",1921072635,0.38240871507352103
"eu","Europe","bel","Belgium",1329675755,0.26468525326423376
"eu","Europe","bgr","Bulgaria",163323124,0.03251110075316509
"eu","Europe","bih","Bosnia and Herzegovina",19531512,0.0038879427416147936
"eu","Europe","blr","Belarus",19831264,0.003947611374165337
"eu","Europe","che","Switzerland",1719666755,0.3423168609833441
"eu","Europe","cze","Czech Republic",1473866509,0.2933878644815458
"eu","Europe","deu","Germany",17201439002,3.424118415059496
"eu","Europe","dnk","Denmark",879270380,0.17502756017239637
"eu","Europe","emu","European Community",139533592,0.027775556558439517
"eu","Europe","esp","Spain",4573033811,0.9103081017299884
"eu","Europe","est","Estonia",51665269,0.010284488348988334
"eu","Europe","fin","Finland",572340302,0.11393005942881018
"eu","Europe","fra","France",4115835828,0.8192982721025754
"eu","Europe","fro","Faroe Islands",52474,0.000010445474340311938
"eu","Europe","gbr","United Kingdom",2084789929,0.41499827930613725
"eu","Europe","gib","Gibraltar",134364,0.000026746497584740505
"eu","Europe","grc","Greece",177577094,0.03534849599428595
"eu","Europe","hrv","Croatia",83875182,0.016696193569577196
"eu","Europe","hun","Hungary",1475877679,0.29378820797792504
"eu","Europe","imn","Isle of Man",41517,0.00000826437394112762
"eu","Europe","irl","Ireland",2017751536,0.40165361692291424
"eu","Europe","isl","Iceland",29719520,0.005915967594740013
"eu","Europe","ita","Italy",6079608500,1.2102068564601964
"eu","Europe","jey","Jersey",1524,3.033674371047641e-7
"eu","Europe","lie","Liechtenstein",63446507,0.012629661562886798
"eu","Europe","ltu","Lithuania",58494457,0.011643906499294508
"eu","Europe","lux","Luxembourg",218709869,0.04353638610764351
"eu","Europe","lva","Latvia",23368089,0.004651651751946214
"eu","Europe","mco","Monaco",5592803,0.0011133033545550107
"eu","Europe","mda","Moldova",1925114,0.0003832131891827434
"eu","Europe","mkd","Macedonia",27503443,0.005474835311330029
"eu","Europe","mlt","Malta",63830476,0.012706094431297346
"eu","Europe","mne","Montenegro",2360414,0.0004698640063557774
"eu","Europe","nld","Netherlands",2634726352,0.5244686226237695
"eu","Europe","nor","Norway",246656757,0.049099493579831094
"eu","Europe","pol","Poland",2321015275,0.4620212962321256
"eu","Europe","prt","Portugal",609535638,0.12133416294230794
"eu","Europe","rke","Channel Islands",5216,0.0000010382969500908462
"eu","Europe","rou","Romania",523485618,0.1042050461245824
"eu","Europe","rus","Russia",2247351188,0.4473577232138497
"eu","Europe","sjm","Svalbard and Jan Mayen",1025417,0.00020411950607195274
"eu","Europe","smr","San Marino",3931902,0.0007826844046503257
"eu","Europe","srb","Serbia",68707991,0.013677012557931233
"eu","Europe","svk","Slovakia",461632743,0.09189261294458809
"eu","Europe","svn","Slovenia",166448266,0.033133191513748064
"eu","Europe","swe","Sweden",1078666363,0.21471932416957162
"eu","Europe","ukr","Ukraine",301207450,0.059958354424777816
"eu","Europe","vat","Vatican City",185690,0.00003696345104723337
"eu","Europe","yug","Yugoslavia",54788,0.000010906099175915891
"na","North America","abw","Aruba",3833335,0.0007630636578175794
"na","North America","aia","Anguilla",424802,0.0000845610853129777
"na","North America","atg","Antigua and Barbuda",348496,0.00006937161309794088
"na","North America","bes","Bonaire",2413,4.803317754158766e-7
"na","North America","bhs","Bahamas",34112533,0.0067904407541743384
"na","North America","blm","Saint Barthélemy",4528,9.013436713978819e-7
"na","North America","blz","Belize",2821482,0.0005616442015598584
"na","North America","bmu","Bermuda",2518,5.012330752164017e-7
"na","North America","brb","Barbados",541555,0.00010780193727117489
"na","North America","can","Canada",11138261787,2.217182370160184
"na","North America","cri","Costa Rica",829058745,0.16503243220468647
"na","North America","cub","Cuba",10288953,0.0020481189646334476
"na","North America","cuw","Curaçao",397674,0.00007916098568451442
"na","North America","cym","Cayman Islands",39161,0.000007795388585603457
"na","North America","dma","Dominica",193310,0.00003848028823275719
"na","North America","dom","Dominican Republic",211065521,0.042014702209285944
"na","North America","glp","Guadeloupe",146788,0.000029219619001137876
"na","North America","grd","Grenada",10724,0.0000021347194196269627
"na","North America","grl","Greenland",245897,0.00004894825635285445
"na","North America","gtm","Guatemala",652750454,0.12993650413317012
"na","North America","hnd","Honduras",613931865,0.12220927588057615
"na","North America","hti","Haiti",48389550,0.009632423731071416
"na","North America","jam","Jamaica",2190066,0.00043595453379939787
"na","North America","kna","Saint Kitts and Nevis",1213811,0.0002416212153540491
"na","North America","lca","Saint Lucia",44177,0.000008793873536074255
