"Continent ID","Continent","Country ID","Country","Trade Value","Share"
"af","Africa","ago","Angola",141913,0.00003575767380825918
"af","Africa","bdi","Burundi",29835,0.000007517494507687193
"af","Africa","ben","Benin",5947,0.0000014984595219445529
"af","Africa","bfa","Burkina Faso",10850,0.000002733863429140474
"af","Africa","bwa","Botswana",123411,0.000031095743746880644
"af","Africa","caf","Central African Republic",282752,0.0000712447329323804
"af","Africa","civ","Cote d'Ivoire",111572772,0.028112877516924265
"af","Africa","cmr","Cameroon",3797694,0.0009569010821812168
"af","Africa","cod","Democratic Republic of the Congo",9177759,0.002312510570651138
"af","Africa","cog","Republic of the Congo",11133843,0.002805383060229646
"af","Africa","com","Comoros",294618,0.00007423459684483947
"af","Africa","cpv","Cape Verde",628057,0.00015825088144844966
"af","Africa","dji","Djibouti",10940,0.0000027565406373084595
"af","Africa","dza","Algeria",12178,0.000003068478234108082
"af","Africa","egy","Egypt",36963341,0.009313615316013704
"af","Africa","eri","Eritrea",18709,0.0000047140876401648965
"af","Africa","esh","Western Sahara",5231,0.000001318049732519246
"af","Africa","eth","Ethiopia",1470628,0.0003705526365963131
"af","Africa","gab","Gabon",4680380,0.0011793105729475107
"af","Africa","gha","Ghana",563269,0.0001419263151952558
"af","Africa","gin","Guinea",543054,0.00013683276227174663
"af","Africa","gmb","Gambia",885156,0.00022303185414601526
"af","Africa","gnb","Guinea-Bissau",207555,0.00005229742157006923
"af","Africa","gnq","Equatorial Guinea",724,1.8242554126246112e-7
"af","Africa","ken","Kenya",9448553,0.0023807422585249323
"af","Africa","lbr","Liberia",2478051,0.000624391981976496
"af","Africa","lby","Libya",6180,0.000001557168294201671
"af","Africa","lso","Lesotho",1450594,0.0003655046900581195
"af","Africa","mar","Morocco",242939149,0.061213129489180514
"af","Africa","mdg","Madagascar",3308156,0.0008335526918241138
"af","Africa","mli","Mali",132497,0.000033385133895928605
"af","Africa","moz","Mozambique",8036509,0.0020249509726320996
"af","Africa","mrt","Mauritania",119640,0.000030145568724642054
"af","Africa","mus","Mauritius",10936539,0.0027556685726699104
"af","Africa","mwi","Malawi",3816280,0.0009615841776368855
"af","Africa","nam","Namibia",9162537,0.0023086750988429924
"af","Africa","ner","Niger",1037189,0.0002613394540282746
"af","Africa","nga","Nigeria",528648293,0.13320297097790212
"af","Africa","reu","Reunion",92353,0.0000232700911770885
"af","Africa","rwa","Rwanda",18560712,0.0046767236641114054
"af","Africa","sdn","Sudan",7051934,0.0017768686144988297
"af","Africa","sen","Senegal",2550491,0.0006426446148619278
"af","Africa","shn","Saint Helena",330284,0.00008322132247283248
"af","Africa","sle","Sierra Leone",1366266,0.0003442566499426764
"af","Africa","som","Somalia",74290,0.00001871877549777381
"af","Africa","stp","Sao Tome and Principe",27243,0.00000686439091244921
"af","Africa","swz","Eswatini",13888028,0.003499352244431237
"af","Africa","syc","Seychelles",570537,0.00014375762573931046
"af","Africa","tcd","Chad",34939,0.000008803544179791615
"af","Africa","tgo","Togo",3957,9.97041252452429e-7
"af","Africa","tun","Tunisia",39570109,0.009970439989143072
"af","Africa","tza","Tanzania",1035885,0.0002610108864788184
"af","Africa","uga","Uganda",3519198,0.0008867287292262026
"af","Africa","zaf","South Africa",265107878,0.06679896151532115
"af","Africa","zmb","Zambia",47206,0.00001189444765308804
"af","Africa","zwe","Zimbabwe",539837,0.00013602217806423097
"at","Antarctica","atf","French South Antarctic Territory",186,4.6866230213836695e-8
